,movie_name,released_year,duration,certificate_type,rating,rating_count,directors,writers,actors
56,Memento,2000,1h 53m,R,8.4,1.3M,['Christopher Nolan '],"['Christopher Nolan ', 'Jonathan Nolan ']","['Guy Pearce ', 'Carrie-Anne Moss ', 'Joe Pantoliano ']"
57,12th Fail,2023,2h 27m,,9.0,113K,['Vidhu Vinod Chopra '],"['Vidhu Vinod Chopra ', 'Jaskunwar Kohli ', 'Anurag Pathak ']","['Vikrant Massey ', 'Medha Shankr ', 'Anant Joshi ']"
58,WALL·E,2008,1h 38m,G,8.4,1.2M,['Andrew Stanton '],"['Andrew Stanton ', 'Pete Docter ', 'Jim Reardon ']","['Ben Burtt ', 'Elissa Knight ', 'Jeff Garlin ']"
59,Raiders of the Lost Ark,1981,1h 55m,PG,8.4,1M,['Steven Spielberg '],"['Lawrence Kasdan ', 'George Lucas ', 'Philip Kaufman ']","['Harrison Ford ', 'Karen Allen ', 'Paul Freeman ']"
60,The Lives of Others,2006,2h 17m,R,8.4,411K,['Florian Henckel von Donnersmarck '],['Florian Henckel von Donnersmarck '],"['Ulrich Mühe ', 'Martina Gedeck ', 'Sebastian Koch ']"
61,Sunset Blvd,1950,1h 50m,Approved,8.4,237K,['Billy Wilder '],"['Charles Brackett ', 'Billy Wilder ', 'D.M. Marshman Jr. ']","['William Holden ', 'Gloria Swanson ', 'Erich von Stroheim ']"
62,Avengers: Infinity War,2018,2h 29m,PG-13,8.4,1.2M,"['Anthony Russo ', 'Joe Russo ']","['Christopher Markus ', 'Stephen McFeely ', 'Stan Lee ']","['Robert Downey Jr. ', 'Chris Hemsworth ', 'Mark Ruffalo ']"
63,Paths of Glory,1957,1h 28m,Approved,8.4,213K,['Stanley Kubrick '],"['Stanley Kubrick ', 'Calder Willingham ', 'Jim Thompson ']","['Kirk Douglas ', 'Ralph Meeker ', 'Adolphe Menjou ']"
64,Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4,673K,"['Bob Persichetti ', 'Peter Ramsey ', 'Rodney Rothman ']","['Phil Lord ', 'Rodney Rothman ']","['Shameik Moore ', 'Jake Johnson ', 'Hailee Steinfeld ']"
65,Witness for the Prosecution,1957,1h 56m,Approved,8.4,138K,['Billy Wilder '],"['Agatha Christie ', 'Billy Wilder ', 'Harry Kurnitz ']","['Tyrone Power ', 'Marlene Dietrich ', 'Charles Laughton ']"
66,The Shining,1980,2h 26m,R,8.4,1.1M,['Stanley Kubrick '],"['Stephen King ', 'Stanley Kubrick ', 'Diane Johnson ']","['Jack Nicholson ', 'Shelley Duvall ', 'Danny Lloyd ']"
67,The Great Dictator,1940,2h 5m,G,8.4,238K,['Charles Chaplin '],['Charles Chaplin '],"['Charles Chaplin ', 'Paulette Goddard ', 'Jack Oakie ']"
68,Aliens,1986,2h 17m,R,8.4,764K,['James Cameron '],"['James Cameron ', 'David Giler ', 'Walter Hill ']","['Sigourney Weaver ', 'Michael Biehn ', 'Carrie Henn ']"
69,Inglourious Basterds,2009,2h 33m,R,8.4,1.6M,['Quentin Tarantino '],['Quentin Tarantino '],"['Brad Pitt ', 'Diane Kruger ', 'Eli Roth ']"
70,The Dark Knight Rises,2012,2h 44m,PG-13,8.4,1.8M,['Christopher Nolan '],"['Jonathan Nolan ', 'Christopher Nolan ', 'David S. Goyer ']","['Christian Bale ', 'Tom Hardy ', 'Anne Hathaway ']"
71,Dr,1964,1h 35m,PG,8.4,519K,['Stanley Kubrick '],"['Stanley Kubrick ', 'Terry Southern ', 'Peter George ']","['Peter Sellers ', 'George C. Scott ', 'Sterling Hayden ']"
72,American Beauty,1999,2h 2m,R,8.3,1.2M,['Sam Mendes '],['Alan Ball '],"['Kevin Spacey ', 'Annette Bening ', 'Thora Birch ']"
73,Coco,2017,1h 45m,PG,8.4,592K,"['Lee Unkrich ', 'Adrian Molina ']","['Lee Unkrich ', 'Jason Katz ', 'Matthew Aldrich ']","['Anthony Gonzalez ', 'Gael García Bernal ', 'Benjamin Bratt ']"
74,Oldboy,2003,2h,R,8.3,637K,['Park Chan-wook '],"['Garon Tsuchiya ', 'Nobuaki Minegishi ', 'Park Chan-wook ']","['Choi Min-sik ', 'Yoo Ji-tae ', 'Kang Hye-jeong ']"
75,Amadeus,1984,2h 40m,PG,8.4,428K,['Milos Forman '],"['Peter Shaffer ', 'Zdenek Mahler ']","['F. Murray Abraham ', 'Tom Hulce ', 'Elizabeth Berridge ']"
76,Toy Story,1995,1h 21m,G,8.3,1.1M,['John Lasseter '],"['John Lasseter ', 'Pete Docter ', 'Andrew Stanton ']","['Tom Hanks ', 'Tim Allen ', 'Don Rickles ']"
77,Das Boot,1981,2h 29m,,8.4,265K,['Wolfgang Petersen '],"['Wolfgang Petersen ', 'Lothar G. Buchheim ']","['Jürgen Prochnow ', 'Herbert Grönemeyer ', 'Klaus Wennemann ']"
78,Avengers: Endgame,2019,3h 1m,PG-13,8.4,1.3M,"['Anthony Russo ', 'Joe Russo ']","['Christopher Markus ', 'Stephen McFeely ', 'Stan Lee ']","['Robert Downey Jr. ', 'Chris Evans ', 'Mark Ruffalo ']"
79,Braveheart,1995,2h 58m,R,8.3,1.1M,['Mel Gibson '],['Randall Wallace '],"['Mel Gibson ', 'Sophie Marceau ', 'Patrick McGoohan ']"
80,Princess Mononoke,1997,2h 14m,PG-13,8.3,434K,['Hayao Miyazaki '],"['Hayao Miyazaki ', 'Neil Gaiman ']","['Yôji Matsuda ', 'Yuriko Ishida ', 'Yûko Tanaka ']"
81,Joker,2019,2h 2m,R,8.4,1.5M,['Todd Phillips '],"['Todd Phillips ', 'Scott Silver ', 'Bob Kane ']","['Joaquin Phoenix ', 'Robert De Niro ', 'Zazie Beetz ']"
82,Good Will Hunting,1997,2h 6m,R,8.3,1.1M,['Gus Van Sant '],"['Matt Damon ', 'Ben Affleck ']","['Robin Williams ', 'Matt Damon ', 'Ben Affleck ']"
